screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
spotonpr,n/a,12,0,0.007555339548447,0,0.0554058233552777,6694,0.007555339548447,2008-09-20 17:04:42,"","",n/a,n/a,4,0,0.333333333333333,0.0
meedan,1,4,1500,0.962311668802192,2554,0.962311668802192,5212,0.962311668802192,2008-12-12 00:14:45,1,0,1.0,0.0,4,0,1.0,0.0
PartiPirate,4,13,1238,0.968364777095392,2948,0.968364777095392,1577,0.968364777095392,2009-06-15 14:33:13,4,0,1.0,0.0,13,0,1.0,0.0
nawaat,61,28,389,0.992312110634914,9685,0.992312110634914,5701,0.992312110634914,2008-06-04 11:15:10,59,0,0.967213114754098,0.0,23,0,0.821428571428571,0.0
toptweets,n/a,14,0,0.999911633455574,887137,0.999911633455574,7673,0.999911633455574,2010-02-11 18:31:38,"","",n/a,n/a,14,0,1.0,0.0
socialedge,n/a,10,397,0.999779083638934,357862,0.999779083638934,4907,0.999779083638934,2008-11-25 18:36:42,"","",n/a,n/a,10,0,1.0,0.0
TheDailyLove,n/a,47,0,0.0938452701807095,0,0.0636239119869217,0,0.0938452701807095,n/a,"","",n/a,n/a,45,0,0.957446808510638,0.0
aym,n/a,5,365,0.999602350550082,271436,0.999602350550082,1381,0.999602350550082,2009-08-03 19:53:18,"","",n/a,n/a,5,0,1.0,0.0
TweetSmarter,n/a,100,192199,0.999513984005655,236706,0.999513984005655,37991,0.999513984005655,2008-08-22 16:55:46,"","",n/a,n/a,52,0,0.52,0.0
ObamaNews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Yahoo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
