screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
spotonpr,n/a,10,0,0.007555339548447,0,0.0554058233552777,6694,0.007555339548447,2008-09-20 17:04:42,"","",n/a,n/a,4,0,0.4,0.0
meedan,3,3,1500,0.962311668802192,2554,0.962311668802192,5212,0.962311668802192,2008-12-12 00:14:45,3,0,1.0,0.0,1,0,0.333333333333333,0.0
PartiPirate,4,19,1238,0.968364777095392,2948,0.968364777095392,1577,0.968364777095392,2009-06-15 14:33:13,4,0,1.0,0.0,18,0,0.947368421052632,0.0
nawaat,60,37,389,0.992312110634914,9685,0.992312110634914,5701,0.992312110634914,2008-06-04 11:15:10,51,0,0.85,0.0,30,0,0.810810810810811,0.0
toptweets,n/a,10,0,0.999911633455574,887137,0.999911633455574,7673,0.999911633455574,2010-02-11 18:31:38,"","",n/a,n/a,10,0,1.0,0.0
socialedge,n/a,4,397,0.999779083638934,357862,0.999779083638934,4907,0.999779083638934,2008-11-25 18:36:42,"","",n/a,n/a,4,0,1.0,0.0
TheDailyLove,n/a,33,0,0.0938452701807095,0,0.0636239119869217,0,0.0938452701807095,n/a,"","",n/a,n/a,30,0,0.909090909090909,0.0
aym,n/a,4,365,0.999602350550082,271436,0.999602350550082,1381,0.999602350550082,2009-08-03 19:53:18,"","",n/a,n/a,4,0,1.0,0.0
TweetSmarter,n/a,109,192199,0.999513984005655,236706,0.999513984005655,37991,0.999513984005655,2008-08-22 16:55:46,"","",n/a,n/a,47,0,0.431192660550459,0.0
ObamaNews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Yahoo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
