screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
YosriFouda,1,1,75,0.966067246940308,2775,0.966067246940308,719,0.966067246940308,2010-09-11 17:50:36,1,0,1.0,0.0,1,0,1.0,0.0
abuaardvark,n/a,33,206,0.984580037997614,5400,0.984580037997614,5819,0.984580037997614,2008-12-20 15:33:59,"","",n/a,n/a,24,0,0.727272727272727,0.0
AsemGH,3,73,293,0.976671232271462,3757,0.976671232271462,15178,0.976671232271462,2009-06-29 20:59:12,2,0,0.666666666666667,0.0,12,0,0.164383561643836,0.0
habibahamid,3,61,1922,0.967967127645473,2920,0.967967127645473,4973,0.967967127645473,2009-02-25 16:13:34,3,0,1.0,0.0,45,0,0.737704918032787,0.0
DavidClinchNews,2,18,5085,0.981796491848186,4682,0.981796491848186,15401,0.981796491848186,2008-11-11 19:19:31,0,0,0.0,0.0,3,0,0.166666666666667,0.0
AlanFisher,3,76,242,0.979896611143021,4357,0.979896611143021,11661,0.979896611143021,2009-01-23 19:33:31,3,0,1.0,0.0,37,0,0.486842105263158,0.0
Ssirgany,3,15,385,0.985905536164008,5967,0.985905536164008,7050,0.985905536164008,2009-04-20 11:32:50,3,0,1.0,0.0,7,0,0.466666666666667,0.0
jamaldajani,15,7,87,0.970927406883754,3158,0.970927406883754,9882,0.970927406883754,2008-09-02 01:25:12,11,0,0.733333333333333,0.0,6,0,0.857142857142857,0.0
ammr,n/a,10,606,0.972164538505722,3284,0.972164538505722,13554,0.972164538505722,2007-05-20 11:52:24,"","",n/a,n/a,3,0,0.3,0.0
blakehounshell,1,43,618,0.983166173286794,4971,0.983166173286794,9143,0.983166173286794,2008-11-08 02:35:34,1,0,1.0,0.0,38,0,0.883720930232558,0.0
abkamal,12,43,1622,0.938894534529227,1719,0.938806167984801,5124,0.938894534529227,2009-06-20 17:31:08,3,0,0.25,0.0,4,0,0.0930232558139535,0.0
adammynott,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
jaycbee,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Andy_Burton,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
